Race	Background	Origine + lien avec Valombre	Raison de partir à l’aventure	Accroche d'histoire personnelle
Humains	Étudiant recalé de l’Université	Ancien étudiant de l’Université Arcanique. Il a quitté les cours après un échec public ou une exclusion discrète.	Il cherche une preuve de compétence que l’Université ne pourra pas ignorer.	Le professeur qui l’a humilié a falsifié l’épreuve pour couvrir une recherche interdite. Retrouver les notes volées pourrait laver son nom, mais aussi révéler pourquoi l’Université protège ce mensonge.
Humains	Héritier d’une petite maison marchande	Issu d’une famille de marchands modestes des Hauteurs. Sa maison dépend des routes commerciales et des mines.	Les affaires familiales déclinent depuis la mort d'un de ses parents. Il cherche à sauver la maison.	Un carnet de dettes trouvé dans les affaires du parent défunt prouve qu’une maison rivale a provoqué la ruine familiale. Il doit choisir entre vengeance publique, justice commerciale ou alliance risquée avec les créanciers.
Humains	Garde civique démissionnaire	Ancien membre de la Garde civique. Il connaît les postes de garde, les patrouilles et les méthodes de la Prévôté.	Il a refusé un ordre jugé injuste et cherche maintenant à agir hors de la hiérarchie.	L’ordre injuste qu’il a refusé a quand même été exécuté par son ancienne escouade. Un témoin survivant le cherche désormais, persuadé qu’il connaît les vrais responsables.
Humains	Apprenti du clergé de Saint-Aldric	Formé dans les bâtiments religieux du Centre Civique. Il a servi lors de cérémonies publiques.	Il veut confronter sa foi à la réalité des rues, des morts et des injustices.	Une confession reçue avant une exécution contredit la version officielle du clergé. S’il enquête, il risque d’exposer un prêtre respecté et de briser la seule communauté qui l’a formé.
Humains	Descendant d’un survivant de Nyx	Sa famille vivait près du quartier touché par la catastrophe de Nyx. Depuis, elle évite d’en parler.	Il veut comprendre pourquoi sa famille garde le silence.	Un inconnu lui remet un symbole calciné qui appartenait à son ancêtre, avec une liste de survivants rayés un à un. La prochaine personne sur la liste porte son nom de famille.
Humains	Employé de bibliothèque	Il travaillait comme copiste, aide-archiviste ou porteur de livres dans le Quartier du Savoir.	Il a perdu son poste après avoir consulté un document non autorisé.	Le document interdit qu’il a lu disparaît des archives, mais certains passages commencent à apparaître dans ses rêves. Un archiviste clandestin lui propose de l’aider s’il accepte de voler la suite du texte.
Humains	Artisan ruiné	Ancien artisan du Centre Civique ou de la Vieille Ville. Il a perdu son atelier dans un incendie.( à cause d’une dette? )	Il cherche l’argent, la protection ou la réputation nécessaires pour se reconstruire.	L’incendie de son atelier n’était pas un accident: une pièce qu’il avait fabriquée a été récupérée dans les cendres. La retrouver pourrait prouver le sabotage, ou attirer ceux qui voulaient l’objet à tout prix.
Nains	Enfant des Terrasses	Né dans les Terrasses Naines. Sa famille vit entre la Place des Terrasses, le Temple-Forgeron et la Mine d’Argent.	Il veut défendre les intérêts nains hors du quartier.	Une décision du Conseil menace de céder une galerie naine à des intérêts extérieurs. Sa famille lui demande de trouver une preuve de fraude avant que les Terrasses ne se divisent entre compromis et révolte.
Nains	Apprenti du Temple-Forgeron	Formé aux rites de la forge.	Il doit prouver sa valeur avant de recevoir un vrai rôle religieux ou clanique.	La flamme sacrée du Temple-Forgeron faiblit depuis qu’un ancien marteau rituel a été vendu en secret. Le récupérer lui offrirait sa place, mais accuserait un dignitaire nain de sacrilège.
Nains	Héritier de contremaître	Sa famille travaille pour la Guilde des Mineurs depuis plusieurs générations.	Il refuse de n’être qu’un héritier de guilde.	Un éboulement présenté comme un accident cache la négligence d’un contremaître allié à sa famille. En révélant la vérité, il sauverait des mineurs, mais détruirait l’héritage qu’on lui impose.
Nains	Forgeron sans atelier	Artisan nain des Terrasses.	Il cherche les moyens d'acheter un atelier.	Un client mystérieux lui propose l’argent nécessaire pour acheter une forge en échange d’une lame impossible à identifier. Chaque indice sur le métal mène vers la Mine d’Argent et une dette ancienne.
Nains	Gardien de tombe	Sa famille entretient depuis longtemps une partie du Cimetière des Terrasses.	Une profanation récente l’a convaincu qu'il fallait enqueter.	La tombe profanée contenait un ancêtre dont le nom a été effacé des registres nains. Les voleurs n’ont pris qu’un os gravé, et depuis, les morts des Terrasses semblent refuser le silence.
Nains	Nain sans clan	Né nain, mais grandi dans un quartier humain. Il connaît mal les coutumes de son peuple.	Il veut choisir lui-même ce que signifie être nain à Valombre.	Un clan inconnu le revendique soudain après des années d’indifférence. Leur accueil cache une exigence: porter la responsabilité d’un crime ancestral pour préserver l’honneur du vrai coupable.
Nains	Parent d’un notable nain	Il appartient à une famille impliquée dans les relations entre les Terrasses et le Conseil.	Il veut agir sur le terrain plutôt que dans les débats politiques.	Il découvre que son parent négocie en secret un accord qui abandonnera des familles mineures à la misère. S’il agit, il devient un traître politique; s’il se tait, il trahit les siens.
Demi-orcs	Manœuvre	Employé comme force de travail dans les galeries, les entrepôts ou les chantiers.	Il veut sortir des tâches les plus dangereuses et être reconnu autrement que par sa force.	Un camarade de chantier disparaît après avoir trouvé une veine étrange sous la ville. Les contremaîtres parlent d’un départ volontaire, mais son outil préféré est revenu couvert d’une poussière noire.
Demi-orcs	Garde de porte	Recruté pour tenir une porte, un entrepôt ou un poste de contrôle.	Il a laissé passer quelqu’un qu’il n’aurait pas dû laisser passer.	La personne qu’il a laissée passer a assassiné quelqu’un pendant la nuit, ou a été accusée de l’avoir fait. Retrouver son visage devient le seul moyen de savoir s’il est complice, victime ou bouc émissaire.
Demi-orcs	Enfant d’ouvriers étrangers	Né dans une famille venue chercher du travail à Valombre.	Il veut gagner assez pour protéger sa famille des expulsions, dettes ou violences.	Un collecteur de dettes menace d’expulser sa famille en utilisant un contrat écrit dans une langue qu’elle ne lit pas. Il doit prouver l’arnaque avant que la Garde ne vienne vider leur logement.
Demi-orcs	Ancien videur de la Vieille Ville	Employé dans une auberge, une maison de jeu ou un entrepôt douteux.	Il a vu trop de disparitions et veut comprendre ce qui se passe réellement.	Une ancienne habituée lui confie avant de disparaître qu’un salon privé vend des noms à des hommes masqués. Son passé lui ouvre les portes de l’enquête, mais les tenanciers savent toutes ses faiblesses.
Demi-orcs	Protégé d’un sergent	Recruté jeune par un sergent de la Garde civique qui lui a donné une chance.	Son protecteur a été muté, arrêté ou tué.	Le sergent qui l’a protégé est officiellement mort, mais une lettre récente porte sa signature et un code de caserne. Le retrouver pourrait sauver son honneur ou révéler qu’il a trahi la Garde.
Demi-orcs	Porteur de cadavres	Employé pour déplacer les morts après épidémies, accidents de mine ou violences de quartier.	Il a reconnu un corps déclaré mort deux fois.	Le corps reconnu deux fois appartient à quelqu’un qui aurait dû être enterré sous un autre nom. Des familles paient pour faire disparaître les morts, et l’une d’elles veut maintenant le faire taire.
Demi-orcs	Travailleur des égouts	Affecté à l’entretien des conduits, pompes et quais souterrains.	Il connaît des passages que les autorités ignorent ou refusent de cartographier.	Une carte interdite des conduits mentionne une porte qui n’existe sur aucun plan officiel. Derrière elle, il trouve des traces fraîches, des symboles de Nyx et le signe de quelqu’un qui connaît son nom.
Demi-orcs	Garde d’une maison marchande	Employé comme escorte par une maison marchande humaine.	Il a été accusé d’un vol commis pendant son tour de garde.	Le vol dont il est accusé cache le transport d’un objet plus dangereux que précieux. Sa seule chance de laver son nom est de retrouver la cargaison avant que son ancien employeur ne l’enterre avec l’affaire.
Demi-orcs	Survivant d’émeute	Il a grandi dans un quartier où la garde intervient rarement et où les foules peuvent devenir dangereuses.	Il veut empêcher que les violences de rue détruisent les siens.	Un meneur d’émeute qu’il croyait mort réapparaît pour rallumer la violence dans son quartier. Il doit découvrir qui finance les troubles avant que sa famille ne soit entraînée dans les représailles.
Demi-orcs	Fossoyeur occasionnel	Il a travaillé près du cimetière comme porteur, terrassier ou gardien temporaire.	Il est soupçonné à tort d’avoir profané une tombe.	La tombe qu’on l’accuse d’avoir profanée contenait un cercueil vide et une inscription récente à l’intérieur du couvercle. Prouver son innocence revient à expliquer pourquoi quelqu’un a simulé sa propre mort.
Elfes	Exilé de la Vieille Ville	Elfe arrivé sans protection, installé dans les rues basses où vivent ceux que les institutions ignorent.	Il veut obtenir un garant, un statut ou une protection durable.	Un faux garant lui propose enfin une protection officielle, mais le document le lie à une dette qu’il ne comprend pas. Pour rester libre, il doit remonter jusqu’à ceux qui vendent des identités aux exilés.
Elfes	Guérisseur clandestin	Soigne les pauvres, les malades et les fugitifs dans les bas-fonds.	Des patients disparaissent après avoir reçu certaines visites.	Un patient sauvé par ses soins revient changé, incapable de reconnaître sa propre famille. Les visiteurs qui l’ont emmené portent le sceau d’une institution respectable de Valombre.
Elfes	Musicien des tavernes basses	Joue dans les auberges et salles communes de la Vieille Ville.	Une chanson ancienne qu’il connaît attire l’attention de gens dangereux.	La chanson ancienne contient en réalité une liste de lieux et de noms codés. Des inconnus l’applaudissent trop fort, puis exigent qu’il chante le couplet manquant.
