nom;race;faction
Aldric Penne, libraire-fournisseur de l'Université;humain;Université Arcanique
Avel Ronce, Bourgmestre de Valombre;humain;Conseil de Valombre
Brand, aubergiste humain du Pic Brisé;humain;Vieille Ville / neutre
Brandin, forgeron des Terrasses;nain;Communauté Naine
Brek, dit 'le Tuyau';humain;Syndicat des Brumes
Brogar, ancien arpenteur des mines;nain;Communauté Naine
Champion de la Bannière Pure;humain;Caldris
Durnik, chef de la Guilde des Mineurs;nain;Communauté Naine
Dvalin Forgefer, armurier des Terrasses;nain;Communauté Naine
Edran Morn, porte-parole des Endeuillés;humain;Ordre de Nyx - Endeuillés
Elian Voss;humain;Ordre de Nyx - Masques
Émissaire Maelric de Caldris;humain;Caldris
Escouade de Gardes du Portail;groupe humanoïde;Conseil / Terrasses Naines
Étudiants de l'Université;humains;Université
Fendrel, herboriste de la Vieille Ville;humain;Vieille Ville
Gardes de la Tour;humains;Garde de la Tour
Garrek Masque, armurier de la Vieille Ville;humain;Vieille Ville
Géraud Veyre, prévôt de Saint-Aldric;humain;Le Clergé de Saint-Aldric
Grodrin, serveur du Marteau d'Étain;nain;Communauté Naine / Marteau d'Étain
Hessa Brunefer, Déléguée des Terrasses;naine;Terrasses naines / Clans
Homme de main du Syndicat;humains;Syndicat des Brumes
Jaren Velt, étudiant en arcanes;humain;Université / Renégats de Thade
Kessak, mineur de la Galerie 5;nain;Guilde des Mineurs
La Présence Cooptée;manifestation planaire de la Spirale;La Spirale
Le Collecteur (identité inconnue);humain;Syndicat des Brumes
Lia;humaine née planaire;Village des Oubliés
Maera Olane, Magistère de l'Université;humaine;Université
Maître Arcaniste Loyaliste;humain;Université Arcanique
Mara, dirigeante de la Résistance;humaine;Résistance Civile
Marenne Doulcet, marchande d'étoffes et d'importations;humaine;La Guilde Marchande
Odran Bellec, maître du Beffroi;humain;La Guilde Marchande
Orthen, marchand du Village des Oubliés;humain;Village des Oubliés
Patrouille Mixte du Conseil;groupe humanoïde;Conseil de Valombre
Pell, ancien garde de Valombre;humain;Village des Oubliés
Pernelle Veyre, marchande d'objets de dévotion;humaine;Clergé de Saint-Aldric
Sealine Vael, la Dame des Soupirs;humaine, ancienne mage de l'Ordre de Nyx, piégée au-delà du seuil;Ordre de Nyx (origine) / Spirale
Sniv;kobold;Témoin indépendant / Résistance
Sœur Alix Marne, hospitalière;humaine;Le Clergé de Saint-Aldric
Thade Coren, Archimage de l'Université Arcanique;humain;Université
Thorgar, Haut Clerc du Temple-Forgeron;nain;Communauté Naine
Torm, gardien de l'Entrée;nain;Guilde des Mineurs
Ursula, apothicaire et Dévote de l'Ordre de Nyx;humaine;Ordre de Nyx - Dévots
Vaneck, colporteur de la Place de la Fondation;humain;La Guilde Marchande
Voldrin, comptable du Comptoir;nain;Guilde des Mineurs
Yselle Vaurin, première syndique;humaine;La Guilde Marchande
